,Status_Date_UTC,Date_UTC,Status_Time_UTC,Time_UTC,Status_POS_Latitude_WGS84_deg,POS_Latitude_WGS84_deg,Status_POS_Longitude_WGS84_deg,POS_Longitude_WGS84_deg,Status_Altitude_WGS84_m,POS_Altitude_WGS84_m,Status_POS_HeightAGL_m,POS_HeightAGL_m,Status_POS_Heading_deg,POS_Heading_deg,Strength,Distance
123,1,14.01.2022,1,08:57:22.2,1,53.912583,1,9.3263413,1,43.3,1,2.1,1,103.2,81,10.87406869016288
124,1,14.01.2022,1,08:57:22.3,1,53.912583,1,9.3263808,1,43.3,1,2.1,1,103.21,88,10.87202361471623
125,1,14.01.2022,1,08:57:23.1,1,53.912533,1,9.3266965,1,43.3,1,2.1,1,103.29,76,10.859098318454123
126,1,14.01.2022,1,08:57:24.0,1,53.912483,1,9.327051,1,43.2,1,2.1,1,103.49,82,10.844196071533526
127,1,14.01.2022,1,08:57:26.0,1,53.912383,1,9.3278398,1,43,1,2.1,1,103.09,90,10.810378485611558
128,1,14.01.2022,1,08:57:26.3,1,53.912367,1,9.3279583,1,43,1,2.1,1,103.03,93,10.805378475003597
129,1,14.01.2022,1,08:57:26.4,1,53.91235,1,9.3279978,1,43,1,2.1,1,103.0,97,10.804515213390799
130,1,14.01.2022,1,08:57:28.1,1,53.912267,1,9.3286685,1,43.1,1,2.1,1,102.75,88,10.77577035483054
131,1,14.01.2022,1,08:57:29.2,1,53.9122,1,9.3291023,1,43.1,1,2.1,1,102.56,87,10.75815954436197
132,1,14.01.2022,1,08:57:30.1,1,53.912167,1,9.3294573,1,43.1,1,2.1,1,102.43,94,10.742270585749
133,1,14.01.2022,1,08:57:32.0,1,53.912067,1,9.3302072,1,43.1,1,2.1,1,102.32,87,10.710910828277152
134,1,14.01.2022,1,08:57:32.9,1,53.912017,1,9.3305622,1,43.1,1,2.1,1,102.37,85,10.69630157319023
135,1,14.01.2022,1,08:57:32.9,1,53.912017,1,9.3305622,1,43.1,1,2.1,1,102.37,85,10.69630157319023
136,1,14.01.2022,1,08:57:34.1,1,53.91195,1,9.3310355,1,43.2,1,2.1,1,102.25,63,10.676899614599156
137,1,14.01.2022,1,08:57:35.3,1,53.9119,1,9.3315097,1,43.1,1,2.1,1,101.84,79,10.656317053254728
138,1,14.01.2022,1,08:57:36.4,1,53.91185,1,9.3319453,1,43.1,1,2.1,1,101.43,72,10.637743875761391
139,1,14.01.2022,1,08:57:37.3,1,53.9118,1,9.3323023,1,43,1,2.1,1,101.25,76,10.623194038469947
140,1,14.01.2022,1,08:57:37.7,1,53.911783,1,9.332461,1,43,1,2.1,1,101.22,71,10.616367698091194
141,1,14.01.2022,1,08:57:38.2,1,53.911767,1,9.3326588,1,43,1,2.1,1,101.31,75,10.607500957380473
142,1,14.01.2022,1,08:57:38.3,1,53.91175,1,9.3326987,1,43,1,2.1,1,101.31,73,10.60668813166953
143,1,14.01.2022,1,08:57:40.3,1,53.911667,1,9.333488,1,43.1,1,2.1,1,101.07,68,10.572766046993236
144,1,14.01.2022,1,08:57:42.5,1,53.911567,1,9.3343328,1,43.1,1,2.1,1,100.72,87,10.537424784468941
145,1,14.01.2022,1,08:57:42.9,1,53.91155,1,9.3344833,1,43.1,1,2.1,1,100.63,77,10.531089736991975
146,1,14.01.2022,1,08:57:43.0,1,53.91155,1,9.3345208,1,43.1,1,2.1,1,100.58,66,10.529209128513662
147,1,14.01.2022,1,08:57:43.7,1,53.911517,1,9.334782,1,43.1,1,2.1,1,100.3,55,10.51848043575174
148,1,14.01.2022,1,08:57:43.8,1,53.911517,1,9.3348192,1,43.2,1,2.1,1,100.28,62,10.5166171589763
149,1,14.01.2022,1,08:57:46.0,1,53.911433,1,9.3356223,1,43.2,1,2.1,1,99.54,62,10.482492988079047
150,1,14.01.2022,1,08:57:48.1,1,53.911367,1,9.3363647,1,43.1,1,2.1,1,99.23,81,10.450249063565014
151,1,14.01.2022,1,08:57:49.9,1,53.9113,1,9.3369837,1,42.9,1,2.1,1,98.92,71,10.424333746020302
152,1,14.01.2022,1,08:57:50.0,1,53.9113,1,9.3370175,1,42.9,1,2.1,1,98.9,78,10.422656043056705
153,1,14.01.2022,1,08:57:50.6,1,53.911283,1,9.33722,1,42.9,1,2.1,1,98.91,95,10.413843624020995
154,1,14.01.2022,1,08:57:54.4,1,53.911167,1,9.3384602,1,42.9,1,2.1,1,98.04,75,10.360955406130001
155,1,14.01.2022,1,08:57:56.0,1,53.911133,1,9.3389612,1,43.1,1,2.1,1,97.42,85,10.338755519128483
156,1,14.01.2022,1,08:57:57.2,1,53.9111,1,9.3393292,1,43.3,1,2.1,1,96.93,85,10.323075634353827
157,1,14.01.2022,1,08:57:57.7,1,53.9111,1,9.3394805,1,43.3,1,2.1,1,96.74,81,10.31564086104989
158,1,14.01.2022,1,08:57:59.4,1,53.911067,1,9.3399875,1,43.2,1,2.1,1,96.77,76,10.293190750972325
159,1,14.01.2022,1,08:58:01.7,1,53.911017,1,9.3406558,1,43.1,1,2.1,1,96.78,74,10.264170212456872
160,1,14.01.2022,1,08:58:01.8,1,53.911017,1,9.3406843,1,43.1,1,2.1,1,96.74,69,10.262777164395967
161,1,14.01.2022,1,08:58:03.2,1,53.910983,1,9.3410718,1,43,1,2.1,1,96.67,66,10.246373284939816
162,1,14.01.2022,1,08:58:05.1,1,53.91095,1,9.3415357,1,43.1,1,2.1,1,96.25,69,10.226212203523003
163,1,14.01.2022,1,08:58:07.0,1,53.910933,1,9.3419135,1,43,1,2.1,1,95.92,73,10.209095419636512
164,1,14.01.2022,1,08:58:08.9,1,53.910917,1,9.3422025,1,42.9,1,2.1,1,95.26,72,10.196246715467923
165,1,14.01.2022,1,08:58:11.1,1,53.9109,1,9.3424533,1,42.9,1,2.1,1,94.54,76,10.18534468459373
166,1,14.01.2022,1,08:58:13.0,1,53.9109,1,9.3426585,1,42.9,1,2.1,1,94.23,62,10.175395668070378
167,1,14.01.2022,1,08:58:14.3,1,53.910883,1,9.342799,1,42.9,1,2.1,1,94.04,73,10.169860721777992
168,1,14.01.2022,1,08:58:20.0,1,53.910867,1,9.343435,1,43,1,2.1,1,94.54,76,10.140297946635844
169,1,14.01.2022,1,08:58:25.2,1,53.910833,1,9.3437832,1,43.2,1,2.1,1,94.83,60,10.126047785413508
170,1,14.01.2022,1,08:58:29.2,1,53.910833,1,9.3438585,1,43.2,1,2.1,1,93.91,71,10.122416956249854
171,1,14.01.2022,1,08:58:30.4,1,53.910833,1,9.343926,1,43.2,1,2.1,1,90.19,64,10.119163161814472
172,1,14.01.2022,1,08:58:34.4,1,53.910817,1,9.3444547,1,43.3,1,2.1,1,97.46,62,10.09491593555362
173,1,14.01.2022,1,09:06:45.5,1,53.930917,1,9.480632,1,58.6,1,2.1,1,193.4,50,4.8491211459166506
174,1,14.01.2022,1,09:08:08.3,1,53.910267,1,9.4854163,1,48.2,1,2.1,1,150.14,55,7.1418417218802865
175,1,14.01.2022,1,09:09:00.6,1,53.900667,1,9.5016898,1,61.4,1,2.1,1,120.54,50,8.478516578299185
